arch,name,features,unsafe,stability,file,doc,signature,instruction
x86_64,_mm256_extract_epi32,avx,False,stable,avx.rs,"Extracts a 32-bit integer from `a`, selected with `INDEX`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_extract_epi32)",fn _mm256_extract_epi32<INDEX: i32>(a: __m256i) -> i32,
x86_64,_mm256_cvtsi256_si32,avx,False,stable,avx.rs,Returns the first element of the input vector of `[8 x i32]`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_cvtsi256_si32),fn _mm256_cvtsi256_si32(a: __m256i) -> i32,
x86_64,_mm256_zeroall,avx,False,stable,avx.rs,Zeroes the contents of all XMM or YMM registers.  This operation is purely a performance hint for the CPU and has no effect on the Abstract Machine state.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_zeroall),fn _mm256_zeroall(),vzeroall
x86_64,_mm256_zeroupper,avx,False,stable,avx.rs,Zeroes the upper 128 bits of all YMM registers; the lower 128-bits of the registers are unmodified.  This operation is purely a performance hint for the CPU and has no effect on the Abstract Machine state.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_zeroupper),fn _mm256_zeroupper(),vzeroupper
x86_64,_mm256_permutevar_ps,avx,False,stable,avx.rs,Shuffles single-precision (32-bit) floating-point elements in `a` within 128-bit lanes using the control in `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_permutevar_ps),"fn _mm256_permutevar_ps(a: __m256, b: __m256i) -> __m256",vpermilps
x86_64,_mm_permutevar_ps,avx,False,stable,avx.rs,Shuffles single-precision (32-bit) floating-point elements in `a` using the control in `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm_permutevar_ps),"fn _mm_permutevar_ps(a: __m128, b: __m128i) -> __m128",vpermilps
x86_64,_mm256_permute_ps,avx,False,stable,avx.rs,Shuffles single-precision (32-bit) floating-point elements in `a` within 128-bit lanes using the control in `imm8`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_permute_ps),fn _mm256_permute_ps<IMM8: i32>(a: __m256) -> __m256,vshufps
x86_64,_mm_permute_ps,avx,False,stable,avx.rs,Shuffles single-precision (32-bit) floating-point elements in `a` using the control in `imm8`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm_permute_ps),fn _mm_permute_ps<IMM8: i32>(a: __m128) -> __m128,vshufps
x86_64,_mm256_permutevar_pd,avx,False,stable,avx.rs,Shuffles double-precision (64-bit) floating-point elements in `a` within 256-bit lanes using the control in `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_permutevar_pd),"fn _mm256_permutevar_pd(a: __m256d, b: __m256i) -> __m256d",vpermilpd
x86_64,_mm_permutevar_pd,avx,False,stable,avx.rs,Shuffles double-precision (64-bit) floating-point elements in `a` using the control in `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm_permutevar_pd),"fn _mm_permutevar_pd(a: __m128d, b: __m128i) -> __m128d",vpermilpd
